Week,None,D0-D4,D1-D4,D2-D4,D3-D4,D4
2000-01-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-02-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-03-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-04-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-02,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-09,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-16,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-23,100.0,0.0,0.0,0.0,0.0,0.0
2000-05-30,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-06,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-13,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-20,100.0,0.0,0.0,0.0,0.0,0.0
2000-06-27,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-04,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-11,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-18,100.0,0.0,0.0,0.0,0.0,0.0
2000-07-25,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-01,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-08,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-15,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-22,100.0,0.0,0.0,0.0,0.0,0.0
2000-08-29,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-09-26,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-03,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-10,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-17,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-24,100.0,0.0,0.0,0.0,0.0,0.0
2000-10-31,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-07,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-14,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-21,100.0,0.0,0.0,0.0,0.0,0.0
2000-11-28,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-05,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-12,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-19,100.0,0.0,0.0,0.0,0.0,0.0
2000-12-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-02,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-09,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-16,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-23,100.0,0.0,0.0,0.0,0.0,0.0
2001-01-30,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-06,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-13,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-02-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-06,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-13,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-20,100.0,0.0,0.0,0.0,0.0,0.0
2001-03-27,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-03,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-10,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-17,100.0,0.0,0.0,0.0,0.0,0.0
2001-04-24,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-01,100.0,0.0,0.0,0.0,0.0,0.0
2001-05-08,44.69,55.31,0.0,0.0,0.0,0.0
2001-05-15,44.64,55.36,0.0,0.0,0.0,0.0
2001-05-22,44.02,55.98,15.81,0.0,0.0,0.0
2001-05-29,0.0,100.0,0.0,0.0,0.0,0.0
2001-06-05,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-12,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-19,100.0,0.0,0.0,0.0,0.0,0.0
2001-06-26,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-03,63.61,36.39,0.0,0.0,0.0,0.0
2001-07-10,63.61,36.39,0.0,0.0,0.0,0.0
2001-07-17,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-24,100.0,0.0,0.0,0.0,0.0,0.0
2001-07-31,61.92,38.08,0.0,0.0,0.0,0.0
2001-08-07,44.07,55.93,20.48,0.0,0.0,0.0
2001-08-14,19.31,80.69,30.4,0.0,0.0,0.0
2001-08-21,4.01,95.99,27.9,0.0,0.0,0.0
2001-08-28,7.03,92.97,71.58,14.27,0.0,0.0
2001-09-04,4.61,95.39,70.16,14.27,0.0,0.0
2001-09-11,0.0,100.0,91.42,29.98,0.0,0.0
2001-09-18,0.0,100.0,91.42,29.98,0.0,0.0
2001-09-25,0.0,100.0,89.69,23.55,0.0,0.0
2001-10-02,10.28,89.72,46.34,8.73,0.0,0.0
2001-10-09,0.0,100.0,82.81,8.73,0.0,0.0
2001-10-16,0.0,100.0,75.11,7.68,0.0,0.0
2001-10-23,0.0,100.0,75.87,7.96,0.0,0.0
2001-10-30,0.0,100.0,98.85,16.5,0.0,0.0
2001-11-06,0.0,100.0,100.0,69.88,0.0,0.0
2001-11-13,0.0,100.0,100.0,69.88,0.0,0.0
2001-11-20,0.0,100.0,100.0,86.35,0.0,0.0
2001-11-27,0.0,100.0,100.0,86.35,0.0,0.0
2001-12-04,0.0,100.0,100.0,86.35,0.0,0.0
2001-12-11,0.0,100.0,100.0,86.35,0.0,0.0
2001-12-18,0.0,100.0,100.0,87.15,0.0,0.0
2001-12-25,0.0,100.0,100.0,87.15,0.0,0.0
2002-01-01,0.0,100.0,100.0,91.97,0.0,0.0
2002-01-08,0.0,100.0,100.0,91.17,0.0,0.0
2002-01-15,0.0,100.0,100.0,88.61,0.0,0.0
2002-01-22,0.0,100.0,100.0,88.94,0.0,0.0
2002-01-29,0.0,100.0,96.6,79.98,0.0,0.0
